46,104,0
47,103,0
47,105,0
48,103,0
48,104,0
49,103,0
49,104,0
50,103,0
40,103,1
40,104,1
40,105,1
40,106,1
41,103,1
41,106,1
42,103,1
42,106,1
43,103,1
43,106,1
44,103,1
44,106,1
45,103,1
45,106,1
46,103,1
46,106,1
47,103,1
47,106,1
48,102,1
48,106,1
49,102,1
49,105,1
50,102,1
50,105,1
51,102,1
51,105,1
52,102,1
52,104,1
53,101,1
53,104,1
54,101,1
54,102,1
54,103,1
38,104,2
38,105,2
39,103,2
39,106,2
40,103,2
40,106,2
41,103,2
41,107,2
42,103,2
42,107,2
43,102,2
43,106,2
44,102,2
44,106,2
45,102,2
45,106,2
46,102,2
46,106,2
47,102,2
47,106,2
48,102,2
48,106,2
49,102,2
49,106,2
50,101,2
50,106,2
51,101,2
51,105,2
52,101,2
52,105,2
53,101,2
53,105,2
54,101,2
54,104,2
55,101,2
55,104,2
56,101,2
56,103,2
57,101,2
57,102,2
36,103,3
37,103,3
37,106,3
38,103,3
38,106,3
39,102,3
39,107,3
40,102,3
40,107,3
41,102,3
41,107,3
42,102,3
42,107,3
43,102,3
43,107,3
44,102,3
44,107,3
45,102,3
45,107,3
46,102,3
46,107,3
47,102,3
47,106,3
48,102,3
48,106,3
49,101,3
49,106,3
50,101,3
50,106,3
51,101,3
51,106,3
52,101,3
52,105,3
53,100,3
53,105,3
54,100,3
54,105,3
55,100,3
55,104,3
56,100,3
56,104,3
57,100,3
57,103,3
58,100,3
58,102,3
59,101,3
36,103,4
37,103,4
38,103,4
38,107,4
39,102,4
39,107,4
40,102,4
40,107,4
41,102,4
41,107,4
42,102,4
42,107,4
43,102,4
43,107,4
44,102,4
44,107,4
45,102,4
45,107,4
46,102,4
46,107,4
47,102,4
47,107,4
48,102,4
48,107,4
49,101,4
49,107,4
50,101,4
50,106,4
51,101,4
51,106,4
52,100,4
52,106,4
53,100,4
53,105,4
54,100,4
54,105,4
55,100,4
55,105,4
56,99,4
56,104,4
57,99,4
57,103,4
58,99,4
58,103,4
59,99,4
59,102,4
60,100,4
60,101,4
37,102,5
38,102,5
38,107,5
39,102,5
39,107,5
40,102,5
40,107,5
41,102,5
41,107,5
42,102,5
42,107,5
43,102,5
43,107,5
44,102,5
44,107,5
45,102,5
45,107,5
46,102,5
46,107,5
47,102,5
47,107,5
48,102,5
48,107,5
49,102,5
49,107,5
50,101,5
50,106,5
51,101,5
51,106,5
52,100,5
52,106,5
53,100,5
53,105,5
54,99,5
54,105,5
55,99,5
55,105,5
56,99,5
56,104,5
57,98,5
57,104,5
58,98,5
58,103,5
59,98,5
59,102,5
60,98,5
60,101,5
61,99,5
61,100,5
37,102,6
38,102,6
38,107,6
39,102,6
39,107,6
40,102,6
40,107,6
41,102,6
41,107,6
42,102,6
42,107,6
43,102,6
43,107,6
44,102,6
44,107,6
45,102,6
45,107,6
46,102,6
46,106,6
47,102,6
47,106,6
48,102,6
48,106,6
49,102,6
49,106,6
50,101,6
50,106,6
51,101,6
51,106,6
52,100,6
52,106,6
53,100,6
53,105,6
54,99,6
54,105,6
55,99,6
55,105,6
56,98,6
56,104,6
57,98,6
57,104,6
58,98,6
58,103,6
59,98,6
59,103,6
60,98,6
60,102,6
61,98,6
61,100,6
61,101,6
62,99,6
37,102,7
38,102,7
38,107,7
39,102,7
39,107,7
40,102,7
40,107,7
41,102,7
41,107,7
42,102,7
42,107,7
43,102,7
43,106,7
44,102,7
44,106,7
45,102,7
45,106,7
46,102,7
46,106,7
47,102,7
47,106,7
48,102,7
48,106,7
49,102,7
49,106,7
50,102,7
50,106,7
51,101,7
51,106,7
52,100,7
52,105,7
53,100,7
53,105,7
54,99,7
54,105,7
55,98,7
55,105,7
56,98,7
56,104,7
57,97,7
57,104,7
58,97,7
58,103,7
59,97,7
59,103,7
60,97,7
60,102,7
61,97,7
61,101,7
62,98,7
